Date	Game	Opponent	Scores	Win	Playoff	Home
2018-04-15	vs. Timberwolves	Timberwolves	104-101	1	1	1
2018-04-18	vs. Timberwolves	Timberwolves	102-82	1	1	1
2018-04-21	@ Timberwolves	Timberwolves	121-105	0	1	0
2018-04-23	@ Timberwolves	Timberwolves	119-100	1	1	0
2018-04-25	vs. Timberwolves	Timberwolves	122-104	1	1	1
2018-04-29	vs. Jazz	Jazz	112-102	1	1	1
2018-05-02	vs. Jazz	Jazz	100-87	1	1	1
2018-05-04	@ Jazz	Jazz	113-92	1	1	0
2018-05-06	@ Jazz	Jazz	108-116	0	1	0
2018-05-08	vs. Jazz	Jazz	110-96	1	1	1
2018-05-14	vs. Warriors	Warriors	106-119	0	1	1
2018-05-16	vs. Warriors	Warriors	127-105	1	1	1
2018-05-20	@ Warriors	Warriors	85-126	0	1	0
2018-05-22	@ Warriors	Warriors	95-92	1	1	0
2018-05-24	vs. Warriors	Warriors	98-94	1	1	1
2018-05-26	@ Warriors	Warriors	115-86	0	1	0
2018-05-28	vs. Warriors	Warriors	101-92	0	1	1
2017-10-17	@ Warriors	Warriors	121-122	1	0	0
2017-10-18	@ Kings	Kings	100-105	1	0	0
2017-10-21	vs. Mavericks	Mavericks	107-91	1	0	1
2017-10-23	vs. Grizzlies	Grizzlies	90-98	0	0	1
2017-10-25	@ 76ers	76ers	104-105	1	0	0
2017-10-27	@ Hornets	Hornets	93-109	1	0	0
2017-10-28	@ Grizzlies	Grizzlies	103-89	0	0	0
2017-10-30	vs. 76ers	76ers	107-115	0	0	1
